metric,pair,mean_a,mean_b,diff,ci_lo,ci_hi,p_raw,p_adj,cohen_d,n
Mapped rate,Human vs R3,0.6683021605778869,0.789969712856616,-0.12166755227872879,-0.13909092875004883,-0.10413741706393437,2.8943764614848867e-33,8.104254092157683e-32,-0.55810451365856,1000
Mapped rate,Human vs Gemini 3 Pro,0.6683021605778869,0.7796178571428573,-0.11131569656497005,-0.12916637123091756,-0.09293583075116686,1.4875723318624722e-28,3.7189308296561806e-27,-0.4839287461850507,1000
Mapped rate,Human vs GPT-5.2,0.6680228149718063,0.6816628050343007,-0.013639990062494375,-0.030164630641992325,0.0032034765381447256,0.5544883403593641,1.0,-0.06311929979351662,999
Mapped rate,R3 vs Gemini 3 Pro,0.789969712856616,0.7796178571428573,0.010351855713758728,-0.0012260367565366374,0.021956185692265356,0.06043635751969429,0.4834908601575543,0.06216100237655318,1000
Mapped rate,R3 vs GPT-5.2,0.7898504724199449,0.6816628050343007,0.10818766738564428,0.09837913172217079,0.1179699929519917,2.8727875053861944e-74,1.2927543774237874e-72,0.7373702396342295,999
Mapped rate,Gemini 3 Pro vs GPT-5.2,0.779730921397588,0.6816628050343007,0.09806811636328744,0.08665241099398656,0.10959455228634166,9.945221732835001e-54,3.7791842584773005e-52,0.5977092269747867,999
Consequential comment rate,Human vs R3,0.6156468922284993,0.8853102754305852,-0.26966338320208577,-0.2928134322891657,-0.2460659279071373,9.764004864750085e-74,4.296162140490037e-72,-0.9989362967460053,972
Consequential comment rate,Human vs Gemini 3 Pro,0.6152510599856863,0.6544227028264104,-0.039171642840724066,-0.06669840549874498,-0.010926038367727927,0.02056687473173869,0.1851018725856482,-0.12293327733746252,971
Consequential comment rate,Human vs GPT-5.2,0.6153813302651675,0.7845665173602099,-0.16918518709504243,-0.1941219835473134,-0.1445278821701196,4.344048676295296e-27,9.991311955479181e-26,-0.6195663091316436,970
Consequential comment rate,R3 vs Gemini 3 Pro,0.8854799765826524,0.6554804052549544,0.22999957132769802,0.21331244001082722,0.2469824958791323,3.628764272007293e-98,1.8143821360036466e-96,1.1114030459316135,998
Consequential comment rate,R3 vs GPT-5.2,0.8856803773842556,0.7863157002975163,0.09936467708673928,0.08918718633432506,0.10954191251893844,5.743438069813574e-62,2.412243989321701e-60,0.7903081668783974,998
Consequential comment rate,Gemini 3 Pro vs GPT-5.2,0.6552906068719322,0.786263121382451,-0.1309725145105189,-0.14819949426075651,-0.11370849999979035,9.031044775587657e-39,2.7996238804321735e-37,-0.6211831922145935,996
Consequential rate (critical only),Human vs R3,0.8643085805951737,0.905097130348909,-0.04078854975373525,-0.05812694619596808,-0.02334638461090048,0.061701133682509235,0.4834908601575543,-0.20983917408087918,857
Consequential rate (critical only),Human vs Gemini 3 Pro,0.8642920065996019,0.843488114044986,0.02080389255461573,-0.0031995195974374325,0.043816576417011074,0.012022809143511773,0.12022809143511773,0.08477255670696454,844
Consequential rate (critical only),Human vs GPT-5.2,0.8646860713778921,0.8081448181776335,0.05654125320025866,0.037806755187126916,0.07473706395106261,6.585319263826029e-21,1.382917045403466e-19,0.28248730779787884,856
Consequential rate (critical only),R3 vs Gemini 3 Pro,0.9064916425612042,0.8427746909067277,0.06371695165447636,0.04791545337504436,0.08000159776545539,5.118989790769644e-11,8.19038366523143e-10,0.34663403925921327,977
Consequential rate (critical only),R3 vs GPT-5.2,0.904687820440794,0.8120030557971071,0.09268476464368695,0.08294214791173714,0.10278402819335627,4.884251347126829e-59,2.002543052322e-57,0.7626126456769157,996
Consequential rate (critical only),Gemini 3 Pro vs GPT-5.2,0.8431258944834764,0.8127308109732556,0.030395083510221018,0.014471552146741992,0.04590534490327664,2.935562985380456e-09,4.4033444780706843e-08,0.15944754891347546,976
Specification rate,Human vs R3,0.9915761365012722,1.0,-0.008423863498727898,-0.012306427050640169,-0.005140572248761796,7.709455705781912e-08,1.0793237988094676e-06,-0.20680071606830236,1000
Specification rate,Human vs Gemini 3 Pro,0.9915761365012722,1.0,-0.008423863498727898,-0.012169431588736068,-0.0051599793591972426,7.709455705781912e-08,1.0793237988094676e-06,-0.20680071606830236,1000
Specification rate,Human vs GPT-5.2,0.9915677042054777,0.9998522331855665,-0.008284528980088936,-0.01211248498876319,-0.0049484918290412195,1.5993425067501441e-07,1.919211008100173e-06,-0.2029060905366223,999
Specification rate,R3 vs Gemini 3 Pro,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1000
Specification rate,R3 vs GPT-5.2,1.0,0.9998522331855665,0.00014776681443348113,0.0,0.00039563372896706233,0.17971249487899976,0.8568927558463574,0.05965739680604268,999
Specification rate,Gemini 3 Pro vs GPT-5.2,1.0,0.9998522331855665,0.00014776681443348113,0.0,0.00039563372896706233,0.17971249487899976,0.8568927558463574,0.05965739680604268,999
Actionability rate,Human vs R3,0.646582180366501,0.9990825528444722,-0.3525003724779715,-0.3753832441766178,-0.3300925004395797,2.2635804945186933e-106,1.1996976620949074e-104,-1.378330317152698,1000
Actionability rate,Human vs Gemini 3 Pro,0.646582180366501,0.889100396825397,-0.24251821645889599,-0.26708894913691217,-0.21847910610613921,1.1636978312310198e-52,4.189312192431671e-51,-0.920030428334636,1000
Actionability rate,Human vs GPT-5.2,0.6462810930384868,0.9860819769993352,-0.33980088396084857,-0.36277583996369334,-0.31715791154301903,1.4752835304656554e-110,8.114059417561105e-109,-1.3209914690272813,999
