metric,pair,mean_a,mean_b,diff,ci_lo,ci_hi,p_raw,p_adj,cohen_d,n
Mapped rate,Human vs R3,0.4478595298664756,0.6348352593894342,-0.18697572952295863,-0.19985940580538808,-0.17401066111484312,2.1378438003594844e-105,8.337590821401989e-104,-0.9556672998507099,1000
Mapped rate,Human vs Gemini 3 Pro,0.4478595298664756,0.6626869047619047,-0.21482737489542916,-0.22930368302543042,-0.2010299732019867,4.5399049601144354e-111,1.906760083248063e-109,-1.008307560082463,1000
Mapped rate,Human vs GPT-5.2,0.4478595298664756,0.5258483149695556,-0.07798878510308004,-0.08960609420539357,-0.06617698558925941,1.3009283761454538e-34,3.252320940363635e-33,-0.40717364971026276,1000
Mapped rate,R3 vs Gemini 3 Pro,0.6348352593894342,0.6626869047619047,-0.027851645372470517,-0.042156750890444745,-0.013909670736871833,9.4573756684417e-05,0.000851163810159753,-0.13252480220045362,1000
Mapped rate,R3 vs GPT-5.2,0.6348352593894342,0.5258483149695556,0.1089869444198786,0.09741807385367897,0.1207096787936003,1.091781879051637e-59,2.9478110734394196e-58,0.5787614220794226,1000
Mapped rate,Gemini 3 Pro vs GPT-5.2,0.6626869047619047,0.5258483149695556,0.1368385897923491,0.12356962451189192,0.1499226516272928,9.720210322450509e-70,3.207669406408668e-68,0.6631745501574902,1000
Consequential comment rate,Human vs R3,0.5994751526329508,0.9322189576818236,-0.33274380504887274,-0.3451615869828179,-0.32048111157960546,3.1556486183833327e-156,1.640937281559333e-154,-2.1575539024061468,995
Consequential comment rate,Human vs Gemini 3 Pro,0.5994896027829588,0.7754608294930876,-0.17597122671012871,-0.19361915144081016,-0.15849497023332143,1.1496742565173383e-69,3.6789576208554825e-68,-0.7807115296355536,992
Consequential comment rate,Human vs GPT-5.2,0.5996506809555193,0.7362318458820882,-0.13658116492656897,-0.15066034193399408,-0.12246829198888104,1.2019437657614816e-62,3.4856369207082966e-61,-0.7971727085594834,994
Consequential comment rate,R3 vs Gemini 3 Pro,0.9322189576818236,0.7749653027039962,0.1572536549778274,0.141496538570916,0.17303847389449103,1.5776866780151145e-69,4.890828701846855e-68,0.790987699697854,995
Consequential comment rate,R3 vs GPT-5.2,0.9323549276764438,0.7369423648183335,0.19541256285811023,0.18481707730484495,0.20601499667409465,4.9373427360383975e-129,2.271177658577663e-127,1.4662321685369686,997
Consequential comment rate,Gemini 3 Pro vs GPT-5.2,0.7747389096483664,0.7363148112065021,0.03842409844186421,0.022440913497820375,0.05449677563033706,2.514705839706336e-09,3.2691175916182365e-08,0.18078690072252057,994
Consequential rate (critical only),Human vs R3,0.9196540183311104,0.9477721440366683,-0.02811812570555783,-0.038030145345521564,-0.018375179721388545,5.385657418252093e-07,6.4627889019025115e-06,-0.2332870751395065,986
Consequential rate (critical only),Human vs Gemini 3 Pro,0.9200222350162989,0.9633749133749133,-0.04335267835861464,-0.054635194769110045,-0.03211933719741268,3.2608914792783225e-16,5.217426366845316e-15,-0.3350263597164757,962
Consequential rate (critical only),Human vs GPT-5.2,0.9195591778467513,0.9055044958228549,0.01405468202389654,0.0033443284872832317,0.02477864184136419,0.000582263338924317,0.004658106711394536,0.10587043250473999,985
Consequential rate (critical only),R3 vs Gemini 3 Pro,0.947919317329627,0.9637517146776405,-0.015832397348013703,-0.025267148629069335,-0.006335085671682516,8.167407439557826e-06,8.167407439557826e-05,-0.14104333775988706,972
Consequential rate (critical only),R3 vs GPT-5.2,0.9479722507724724,0.9058668015173368,0.04210544925513563,0.03317535406228254,0.051327453519804105,7.592320226836285e-19,1.2906944385621685e-17,0.3643207754613471,997
Consequential rate (critical only),Gemini 3 Pro vs GPT-5.2,0.9637143837967731,0.9068987601053344,0.05681562369143874,0.04623821148635581,0.06719129065210513,3.8102035029210386e-29,8.382447706426285e-28,0.4539272250432056,971
Specification rate,Human vs R3,0.996540829009431,1.0,-0.003459170990569051,-0.0045709675072271114,-0.002453716655645801,1.6203501809875324e-10,2.4305252714812986e-09,-0.2844975857878191,1000
Specification rate,Human vs Gemini 3 Pro,0.996540829009431,1.0,-0.003459170990569051,-0.004582674389278589,-0.00245944883016532,1.6203501809875324e-10,2.4305252714812986e-09,-0.2844975857878191,1000
Specification rate,Human vs GPT-5.2,0.996540829009431,0.999340750550619,-0.0027999215411880227,-0.003989608341180775,-0.0016741077597711058,5.262490202550481e-06,5.788739222805529e-05,-0.20859428279552164,1000
Specification rate,R3 vs Gemini 3 Pro,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1000
Specification rate,R3 vs GPT-5.2,1.0,0.999340750550619,0.0006592494493810284,0.00021738437001594892,0.0012148402492974859,0.011718685599768632,0.0703121135986118,0.11593724218090665,1000
Specification rate,Gemini 3 Pro vs GPT-5.2,1.0,0.999340750550619,0.0006592494493810284,0.0002153822055137845,0.0012058123765854027,0.011718685599768632,0.0703121135986118,0.11593724218090665,1000
Actionability rate,Human vs R3,0.5771398031508598,0.9921177206150739,-0.4149779174642141,-0.42407439874321307,-0.405985421023306,3.369583159783153e-165,2.1228373906633865e-163,-3.981893830415763,1000
Actionability rate,Human vs Gemini 3 Pro,0.5771398031508598,0.8142694444444445,-0.23712964129358471,-0.25211183839087126,-0.2221281675219664,3.0223205657098504e-114,1.2995978432552357e-112,-1.373769329510085,1000
Actionability rate,Human vs GPT-5.2,0.5771398031508598,0.8256716974876488,-0.24853189433678893,-0.2580781311561694,-0.2390172988087007,2.0057703933662658e-162,1.1232314202851088e-160,-2.2732049469720397,1000
Actionability rate,R3 vs Gemini 3 Pro,0.9921177206150739,0.8142694444444445,0.17784827617062945,0.16573427714545144,0.19046064040009808,1.495969169312463e-110,6.133473594181099e-109,1.2577858290215869,1000
