source,metric,W,p,n,rejected
Human,mapped_rate,0.9917911073036944,2.3313962639675738e-05,1000,True
Human,consequential_rate,0.989108568933602,9.568770431633354e-07,996,True
Human,consequential_critical_rate,0.6553171839383312,1.310945014441212e-40,987,True
Human,specification_rate,0.20748322613956427,9.679851531992214e-54,1000,True
Human,actionability_rate,0.9699099981065565,1.5645499334508533e-13,1000,True
Human,anchored_rate,0.9924561163663415,5.606890847454659e-05,1000,True
Human,justification_rate,0.9984783712017319,0.5405938386387344,1000,False
Human,claim_coverage,0.8867855340667748,2.0480765084103718e-26,1000,True
Human,comments_per_paper,0.9715619605150404,4.374123230820795e-13,1000,True
Human,comment_length,0.9256145915856069,7.860705624693798e-22,1000,True
R3,mapped_rate,0.9868223730658521,7.856136435061127e-08,1000,True
R3,consequential_rate,0.6722985084521249,4.42240657260278e-40,999,True
R3,consequential_critical_rate,0.5848184446703553,1.5619233670268163e-43,999,True
R3,specification_rate,1.0,1.0,1000,False
R3,actionability_rate,0.26283485566447096,1.5214280531807933e-52,1000,True
R3,anchored_rate,0.9405997919338144,1.443445407794025e-19,1000,True
R3,justification_rate,0.5386271687894668,3.885740426306402e-45,1000,True
R3,claim_coverage,0.9001380934406924,5.367401272554983e-25,1000,True
R3,comments_per_paper,0.9485407085071443,3.4197109673755595e-18,1000,True
R3,comment_length,0.983218766452989,2.5686543614713035e-09,1000,True
R3,claim_overlap_fraction,0.808376522298495,9.275470534601328e-33,996,True
R3,stance_matched_overlap_fraction,0.9298756761244733,3.512058439653764e-21,996,True
Gemini 3 Pro,mapped_rate,0.9596014762475548,5.362020864061613e-16,1000,True
Gemini 3 Pro,consequential_rate,0.8220141099162346,8.099796125197873e-32,996,True
Gemini 3 Pro,consequential_critical_rate,0.3302852713595448,1.808338208124396e-50,973,True
Gemini 3 Pro,specification_rate,1.0,1.0,1000,False
Gemini 3 Pro,actionability_rate,0.8296094820030191,2.52504714493596e-31,1000,True
Gemini 3 Pro,anchored_rate,0.8302327276823355,2.806953663681338e-31,1000,True
Gemini 3 Pro,justification_rate,0.7401102999384304,7.3959591659562024e-37,1000,True
Gemini 3 Pro,claim_coverage,0.9652286079548342,1.0300786555907743e-14,1000,True
Gemini 3 Pro,comments_per_paper,0.9142857884583462,2.5139011321706898e-23,1000,True
Gemini 3 Pro,comment_length,0.9909737601806474,8.275205143342522e-06,1000,True
Gemini 3 Pro,claim_overlap_fraction,0.9427609393035042,3.635201719945729e-19,996,True
Gemini 3 Pro,stance_matched_overlap_fraction,0.956828145243528,1.5125649446396678e-16,996,True
GPT-5.2,mapped_rate,0.9911250034651029,9.98945912322217e-06,1000,True
GPT-5.2,consequential_rate,0.9806461484697505,2.9919760598149823e-10,998,True
GPT-5.2,consequential_critical_rate,0.7601945075524446,9.762871116789256e-36,998,True
GPT-5.2,specification_rate,0.05559909322122414,1.0738623298211372e-56,1000,True
GPT-5.2,actionability_rate,0.9470609753866502,1.8481376519173767e-18,1000,True
GPT-5.2,anchored_rate,0.929942109562751,3.2485118753931055e-21,1000,True
GPT-5.2,justification_rate,0.9297377099596563,3.033551052657237e-21,1000,True
GPT-5.2,claim_coverage,0.8120514941458629,1.4416278349941392e-32,1000,True
GPT-5.2,comments_per_paper,0.9864758321665044,5.5328158700808017e-08,1000,True
GPT-5.2,comment_length,0.946547916319409,1.4973717056425136e-18,1000,True
GPT-5.2,claim_overlap_fraction,0.6478001648595634,4.557765865698417e-41,996,True
GPT-5.2,stance_matched_overlap_fraction,0.9239088986791612,5.064225776920981e-22,996,True
