source,metric,W,p,n,rejected
Human,mapped_rate,0.9320066580194417,6.541397835215824e-21,1000,True
Human,consequential_rate,0.8602512924835777,1.6214671793847316e-28,972,True
Human,consequential_critical_rate,0.6061035570029902,2.995943118625121e-40,858,True
Human,specification_rate,0.13343529064988402,3.0953871277458965e-55,1000,True
Human,actionability_rate,0.8395815571934251,1.4263589029543299e-30,1000,True
Human,anchored_rate,0.9267722540293221,1.141926752153955e-21,1000,True
Human,justification_rate,0.9522457455266002,1.6915321329151543e-17,1000,True
Human,claim_coverage,0.9543413405141716,4.3469282914389786e-17,1000,True
Human,comments_per_paper,0.8397209201142752,1.462161863238619e-30,1000,True
Human,comment_length,0.825898862240251,1.3530620380940553e-31,1000,True
R3,mapped_rate,0.9492360475687024,4.5865882240809695e-18,1000,True
R3,consequential_rate,0.8618457788228886,9.458767663209973e-29,1000,True
R3,consequential_critical_rate,0.8287731907253666,2.3361558672659966e-31,998,True
R3,specification_rate,1.0,1.0,1000,False
R3,actionability_rate,0.07389224262023508,2.3154406472960494e-56,1000,True
R3,anchored_rate,0.8410514487295406,1.854211876691306e-30,1000,True
R3,justification_rate,0.43696120874878097,3.256713337093575e-48,1000,True
R3,claim_coverage,0.6923188967574785,3.3453559712762345e-39,1000,True
R3,comments_per_paper,0.9511858742397751,1.0613025623450625e-17,1000,True
R3,comment_length,0.9739288430594611,2.0499558529831694e-12,1000,True
R3,claim_overlap_fraction,0.44328649213356386,1.5871107740864608e-47,972,True
R3,stance_matched_overlap_fraction,0.7389148740480389,1.735007734956728e-36,972,True
Gemini 3 Pro,mapped_rate,0.9097965418340402,7.062531398164566e-24,1000,True
Gemini 3 Pro,consequential_rate,0.9333599112176777,1.0966839758978039e-20,998,True
Gemini 3 Pro,consequential_critical_rate,0.7106619331820505,5.425811518503201e-38,978,True
Gemini 3 Pro,specification_rate,1.0,1.0,1000,False
Gemini 3 Pro,actionability_rate,0.7549180740288874,4.635791663754859e-36,1000,True
Gemini 3 Pro,anchored_rate,0.8353523941757721,6.7756013688968255e-31,1000,True
Gemini 3 Pro,justification_rate,0.7884270742699917,4.2056375718365974e-34,1000,True
Gemini 3 Pro,claim_coverage,0.9277957027792747,1.5944491551453192e-21,1000,True
Gemini 3 Pro,comments_per_paper,0.8663324973019846,2.3462968915544726e-28,1000,True
Gemini 3 Pro,comment_length,0.9606222359621994,8.963905030084047e-16,1000,True
Gemini 3 Pro,claim_overlap_fraction,0.7744055846313838,1.5665353751163315e-34,972,True
Gemini 3 Pro,stance_matched_overlap_fraction,0.8887435346823755,7.264545868198593e-26,972,True
GPT-5.2,mapped_rate,0.9500803432307905,6.726598545741309e-18,999,True
GPT-5.2,consequential_rate,0.9775496493598941,2.7201375131058738e-11,998,True
GPT-5.2,consequential_critical_rate,0.9628447863005417,2.95456966469874e-15,998,True
GPT-5.2,specification_rate,0.019370747740589223,2.5473047284412424e-57,999,True
GPT-5.2,actionability_rate,0.3052582620792301,1.4797503193735677e-51,999,True
GPT-5.2,anchored_rate,0.8420265014999224,2.2791029284251754e-30,999,True
GPT-5.2,justification_rate,0.9055082357663852,2.25516557994403e-24,999,True
GPT-5.2,claim_coverage,0.4217203835821587,1.2363374340254922e-48,1000,True
GPT-5.2,comments_per_paper,0.9735015092892948,1.5407527406849382e-12,1000,True
GPT-5.2,comment_length,0.10791736387106587,1.0475555308823768e-55,999,True
GPT-5.2,claim_overlap_fraction,0.19839310134292476,2.2139938601277606e-53,972,True
GPT-5.2,stance_matched_overlap_fraction,0.7220913136243303,2.433718206249373e-37,972,True
