source,metric,W,p,n,rejected
Human,mapped_rate,0.9764271760838701,0.01482046261631641,142,True
Human,consequential_rate,0.9270570545835779,1.4214824544225468e-06,139,True
Human,consequential_critical_rate,0.7393850927695428,2.6675210623181593e-14,137,True
Human,specification_rate,0.23417593684109017,4.907009974626336e-24,142,True
Human,actionability_rate,0.8895745216105478,7.321577680670192e-09,142,True
Human,anchored_rate,0.9731712210669203,0.006806310113071883,142,True
Human,justification_rate,0.9695426304883799,0.002942843303193904,142,True
Human,claim_coverage,0.9410950930679263,1.0923351502338953e-05,142,True
Human,comments_per_paper,0.9481933093367483,3.8289051848543876e-05,142,True
Human,comment_length,0.8092586502871886,2.577248823405633e-12,142,True
R3,mapped_rate,0.9240279398804683,7.166932182967343e-07,142,True
R3,consequential_rate,0.8802817693160336,2.7296547284916227e-09,141,True
R3,consequential_critical_rate,0.8547751574262134,1.817168647627131e-10,141,True
R3,specification_rate,1.0,1.0,142,False
R3,actionability_rate,0.16641239420545706,6.898900735998905e-25,142,True
R3,anchored_rate,0.9288428681156107,1.489256170622947e-06,142,True
R3,justification_rate,0.504732271684074,6.629721937935814e-20,142,True
R3,claim_coverage,0.8084832585486417,2.4159990947799076e-12,142,True
R3,comments_per_paper,0.980046498209743,0.036084860578633846,142,True
R3,comment_length,0.9880523273288282,0.26151398059339565,142,False
R3,claim_overlap_fraction,0.6377630258389456,5.180589896701059e-17,139,True
R3,stance_matched_overlap_fraction,0.7928199495029774,9.681041871748884e-13,139,True
Gemini 3 Pro,mapped_rate,0.9003609884224492,2.7654731825041565e-08,142,True
Gemini 3 Pro,consequential_rate,0.8924109974784592,1.2353638380276699e-08,140,True
Gemini 3 Pro,consequential_critical_rate,0.44855065815636563,2.565064611556024e-20,134,True
Gemini 3 Pro,specification_rate,1.0,1.0,142,False
Gemini 3 Pro,actionability_rate,0.6930419502728504,7.508431752344981e-16,142,True
Gemini 3 Pro,anchored_rate,0.8035476477280575,1.6080190777079184e-12,142,True
Gemini 3 Pro,justification_rate,0.5574252670073652,6.605039760940511e-19,142,True
Gemini 3 Pro,claim_coverage,0.9587176559074138,0.00028921718150715526,142,True
Gemini 3 Pro,comments_per_paper,0.7552245921623589,4.162243778555085e-14,142,True
Gemini 3 Pro,comment_length,0.9753399766232633,0.0113996445613646,142,True
Gemini 3 Pro,claim_overlap_fraction,0.8855690522049907,6.039223793244531e-09,139,True
Gemini 3 Pro,stance_matched_overlap_fraction,0.9189797021352385,4.3495760031484855e-07,139,True
GPT-5.2,mapped_rate,0.9738180723449564,0.007929244804975526,142,True
GPT-5.2,consequential_rate,0.9375230866329959,5.982790427413629e-06,142,True
GPT-5.2,consequential_critical_rate,0.8502787024079137,1.0497468211330334e-10,142,True
GPT-5.2,specification_rate,1.0,1.0,142,False
GPT-5.2,actionability_rate,0.8211593363537932,7.111080894712672e-12,142,True
GPT-5.2,anchored_rate,0.7939702162278839,7.442923613843374e-13,142,True
GPT-5.2,justification_rate,0.8755687337102103,1.4635929450148013e-09,142,True
GPT-5.2,claim_coverage,0.7809144689130011,2.7078201054164605e-13,142,True
GPT-5.2,comments_per_paper,0.9641222022533402,0.0008910253636375093,142,True
GPT-5.2,comment_length,0.9790193705411923,0.027969287198815508,142,True
GPT-5.2,claim_overlap_fraction,0.49643335785648646,7.524706179903846e-20,139,True
GPT-5.2,stance_matched_overlap_fraction,0.769369974610725,1.6552961958983175e-13,139,True
