metric,pair,mean_a,mean_b,diff,ci_lo,ci_hi,p_raw,p_adj,cohen_d,n
Mapped rate,Human vs R3,0.4899895193896488,0.7155877536329857,-0.22559823424333678,-0.2676959974866721,-0.18271024365985206,3.091669607272657e-15,1.360334627199969e-13,-0.9391705536002956,142
Mapped rate,Human vs Gemini 3 Pro,0.4899895193896488,0.7097082494969819,-0.21971873010733306,-0.26857579119943703,-0.17067950497644865,2.890550568746666e-13,1.0984092161237332e-11,-0.8601416165838744,142
Mapped rate,Human vs GPT-5.2,0.4899895193896488,0.5618179891418426,-0.07182846975219376,-0.1133164986764651,-0.030054673547188514,0.0004675034791561541,0.009817573062279237,-0.3113678147138991,142
Mapped rate,R3 vs Gemini 3 Pro,0.7155877536329857,0.7097082494969819,0.005879504136003685,-0.02716677598613299,0.03854804982364718,0.4599351604585328,1.0,0.023899644949806856,142
Mapped rate,R3 vs GPT-5.2,0.7155877536329857,0.5618179891418426,0.15376976449114302,0.1258855447925766,0.18110673503204788,6.920158790697418e-17,3.321676219534761e-15,0.6983454525949354,142
Mapped rate,Gemini 3 Pro vs GPT-5.2,0.7097082494969819,0.5618179891418426,0.14789026035513933,0.11209433918751646,0.1837596424116105,1.0122775099758847e-11,3.5429712849155963e-10,0.6247524446201599,142
Consequential comment rate,Human vs R3,0.6748542134664751,0.8817599310208328,-0.20690571755435772,-0.2551748275509831,-0.16073666726169752,4.842408395169645e-13,1.7916911062127686e-11,-1.0388610976289767,138
Consequential comment rate,Human vs Gemini 3 Pro,0.6776946508953231,0.6838199513381995,-0.0061253004428763625,-0.06244350272649708,0.049913078909659035,0.996903647548324,1.0,-0.023387454350337067,137
Consequential comment rate,Human vs GPT-5.2,0.67719339178686,0.8111759705969787,-0.13398257881011855,-0.1831527739595485,-0.08641967606386877,1.5737577449550082e-06,4.8786490093605256e-05,-0.6415430698210449,139
Consequential comment rate,R3 vs Gemini 3 Pro,0.8784490748633924,0.6822619047619046,0.19618717010148753,0.15074970202558574,0.24356392463675364,9.322032131973226e-13,3.3559315675103616e-11,0.9288418601196624,140
Consequential comment rate,R3 vs GPT-5.2,0.8793111381622335,0.8128411543980347,0.0664699837641988,0.03689422154371995,0.09594383761808879,1.0091186073505552e-05,0.00028255321005815544,0.4980351920699379,141
Consequential comment rate,Gemini 3 Pro vs GPT-5.2,0.6822619047619046,0.8115043055008778,-0.12924240073897306,-0.18174005053116205,-0.07885540723773254,1.4571271414234164e-05,0.0003642817853558541,-0.590488723778027,140
Consequential rate (critical only),Human vs R3,0.8347786480451296,0.8991964657542422,-0.06441781770911255,-0.10914881300851381,-0.021849944721013585,0.04837195991430917,0.58046351897171,-0.3561370018059802,136
Consequential rate (critical only),Human vs Gemini 3 Pro,0.8322812523138792,0.9293589743589743,-0.09707772204509522,-0.14443104550000688,-0.050642544550591105,0.00014969807655524226,0.003443055760770572,-0.46497864694598,130
Consequential rate (critical only),Human vs GPT-5.2,0.8359846433148732,0.8788806149018348,-0.042895971586961616,-0.08673352806442312,-0.001932882565735495,0.32812814264751056,1.0,-0.22983345254131454,137
Consequential rate (critical only),R3 vs Gemini 3 Pro,0.8976948967759234,0.9240049751243781,-0.02631007834845458,-0.06167910430129711,0.012962082625785175,0.0030384725215295023,0.05165403286600154,-0.16638817324368502,134
Consequential rate (critical only),R3 vs GPT-5.2,0.900466094628205,0.8813034546006683,0.019162640027536936,-0.005293332285110663,0.04384917685151119,0.15957684526232796,1.0,0.1623975032742464,141
Consequential rate (critical only),Gemini 3 Pro vs GPT-5.2,0.9240049751243781,0.8751028887962256,0.048902086328152586,0.010378051960002889,0.08410262460258706,0.00016086659127317505,0.003539065008009851,0.2970774472377778,134
Specification rate,Human vs R3,0.9900805075161558,1.0,-0.00991949248384411,-0.018328152912599243,-0.0037345283824157063,0.0014688499662158369,0.029376999324316738,-0.3133705706247115,142
